Wall time,Step,Value
1581878665.1063879,1,28.039209365844727
1581878667.5310857,2,380.2881164550781
1581878672.1448863,4,279.2123107910156
1581878675.8529346,5,404.72607421875
1581878678.2457728,6,1943.6373291015625
1581878680.539242,7,2655.739013671875
1581878682.8277779,8,246.25018310546875
1581878686.3144267,9,908.7234497070312
1581878688.620203,10,255.98104858398438
1581878690.954012,11,-254.7692413330078
1581878693.2535558,12,-724.8065795898438
1581878696.301842,13,-1336.637939453125
1581878698.6563525,14,-1495.97607421875
1581878701.0532117,15,1900.351806640625
1581878703.4183357,16,-140.8419189453125
1581878707.1354654,17,-2516.666259765625
1581878709.512079,18,4.54241943359375
1581878711.8235233,19,-1026.5960693359375
1581878714.3093789,20,232.44894409179688
1581878718.0502727,21,-1926.479736328125
1581878720.4552147,22,-807.0137939453125
1581878722.8084195,23,632.0335693359375
1581878725.1111794,24,-2099.496826171875
1581878728.5755126,25,-2675.688720703125
1581878731.2791915,26,-294.83795166015625
1581878734.009589,27,-1928.2142333984375
1581878736.7392735,28,-344.6791076660156
1581878745.8184762,31,4654.0888671875
1581878748.4887166,32,2332.384033203125
1581878752.861988,33,852.9212646484375
1581878755.664843,34,2260.8037109375
1581878758.3784559,35,-3427.45458984375
1581878765.5684998,37,1063.489990234375
1581878768.4127667,38,1646.319580078125
1581878771.186313,39,633.8148803710938
1581878773.8974464,40,-409.3211364746094
1581878777.4641316,41,-839.408935546875
1581878782.811596,43,296.6500549316406
1581878785.534899,44,6404.9501953125
1581878789.2034607,45,2387.13671875
1581878791.9608192,46,3338.17578125
1581878794.6577675,47,597.9718017578125
1581878797.3355577,48,99.33174133300781
1581878803.8747053,50,-2379.835205078125
1581878806.2030075,51,-5054.134765625
1581878812.2799277,53,-3691.391845703125
1581878814.6408768,54,-4057.809326171875
1581878816.9711468,55,2738.483154296875
1581878819.3795562,56,-1441.135009765625
1581878823.706635,57,-57.88975524902344
1581878826.4587955,58,-843.5323486328125
1581878831.8771486,60,-2840.793701171875
1581878836.3063424,61,-2559.35546875
1581878839.3356476,62,3261.37353515625
1581878842.1275795,63,1936.8651123046875
1581878845.1477451,64,2076.422607421875
1581878849.7683325,65,2306.295166015625
1581878852.5600095,66,-1268.06396484375
1581878855.3149877,67,-2210.28759765625
1581878858.163688,68,1273.42236328125
1581878863.0978267,69,-1216.4700927734375
1581878866.3946037,70,1374.9229736328125
1581878873.1348069,72,13.805191993713379
1581878877.5200844,73,3737.505859375
1581878880.573843,74,-6553.5888671875
1581878883.391523,75,577.8505859375
1581878886.2098858,76,2046.6290283203125
1581878890.8784995,77,2545.19140625
1581878894.0351334,78,4317.70361328125
1581878896.9151657,79,3785.626953125
1581878899.9808455,80,4036.3486328125
1581878907.812685,82,-678.8633422851562
1581878910.7582612,83,-2518.953369140625
1581878917.3417773,85,15954.4873046875
1581878920.2187061,86,1615.7091064453125
1581878923.0857065,87,63.70925521850586
1581878925.8361917,88,1964.8182373046875
1581878930.051484,89,-465.9292297363281
1581878932.937421,90,8457.5693359375
1581878938.6285377,92,2600.100830078125
1581878943.2383604,93,10264.681640625
1581878946.2660294,94,2806.1298828125
1581878948.9927795,95,7463.6796875
1581878951.7590237,96,4499.78466796875
1581878956.1480107,97,-5190.29638671875
1581878958.9862957,98,2088.37841796875
1581878964.5187664,100,-2483.498779296875
1581878968.2439644,101,-6998.02783203125
1581878970.9355156,102,-8805.6982421875
1581878973.6667106,103,-1977.1878662109375
1581878976.376353,104,7612.0869140625
1581878980.4428582,105,2127.289794921875
1581878983.7099211,106,5525.736328125
1581878986.7179563,107,1998.6348876953125
1581878989.4730716,108,4936.8466796875
1581878993.9553726,109,-1194.9329833984375
1581878997.0422144,110,-323.2034912109375
1581879000.4896936,111,4176.68310546875
1581879003.6333063,112,4206.98193359375
1581879008.3051445,113,-6636.73388671875
1581879011.426109,114,5389.90283203125
1581879014.3578105,115,-5942.24658203125
1581879017.2250323,116,1845.983642578125
1581879020.9100919,117,2961.93505859375
1581879023.5412815,118,-6159.7236328125
1581879026.2040489,119,-2450.396728515625
1581879028.8463483,120,1264.9019775390625
1581879033.4117866,121,-1096.604248046875
1581879036.1391509,122,-2096.459228515625
1581879038.804465,123,-4495.318359375
1581879041.4694448,124,2213.885498046875
1581879045.7034934,125,1272.3690185546875
1581879048.346755,126,5130.376953125
1581879050.9487035,127,-1825.8765869140625
1581879053.5797591,128,-4370.57275390625
1581879060.7376723,130,-7934.02587890625
1581879063.467982,131,-4147.70947265625
1581879073.669622,134,1099.337158203125
1581879076.7843645,135,2086.3486328125
1581879084.652025,137,-11539.337890625
1581879087.420544,138,4468.79541015625
1581879093.060865,140,-8223.8251953125
1581879100.2781062,142,11707.9482421875
1581879103.2370708,143,1751.473876953125
1581879106.1569197,144,-7118.8916015625
1581879111.3279884,145,-3231.984619140625
1581879114.4174979,146,-636.6886596679688
1581879117.1828313,147,-8457.419921875
1581879124.1119387,149,-3012.532470703125
1581879126.95282,150,-874.1895141601562
1581879129.7505105,151,1294.9803466796875
1581879133.0354884,152,8955.2119140625
1581879140.4995294,154,1016.3689575195312
